genero;genero_diverso;edad;discapacidad;nivel_formacion;carrera_grado;tipo_universidad;provincia;region;id;rubro;dotacion;origen_capital;dotacion_rh;puesto;tipo_contratacion;funcion_rh;personas_a_cargo;anios_en_empresa;anios_en_puesto;anios_experiencia;sueldo_bruto;beneficios;bono;ajuste;ajuste_porcentaje;ajuste_mes;otros_proyectos;erp;nombre_area;mate;idioma_exigencia;idioma_porcentaje;contactos_linkedin;satisfaccion;busqueda;beneficios_expectativa;rh_una_palabra;pregunta_bizarra;teletrabajo;elementos;valoracion_gestion_empresa;es_lider;rangos_aumentos
Masculino;No;49;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Ciudad Autónoma de Buenos Aires;Centro;1;"Servicios financieros; seguros";110;Nacional;2;Gerente;Full time;Generalista;1;5;5;20;250000;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Licencias extendidas, Frutas y snacks, Abono de celular, Home office;No recibo bono;2 ajustes;23;Agosto;No;Bejerman;Gestión de Personas;Si, está permitido;No;0;7500;5;No,  pero escucho ofertas;-;Gestión;-;Si;Computadora / Laptop, Abono de celular;4;1;Entre 21 y 30
Femenino;No;35;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Buenos Aires;Centro;2;Comercio;1433;Nacional;10;Analista;Full time;Administración de personal;0;0;0;7;55700;Tarjeta de descuento;Menos de un sueldo;1 solo;20;Marzo;No;Enlatado propio;Recursos Humanos;Si, está permitido;No;0;500;3;No,  pero escucho ofertas;Vacaciones extendidas, almuerzo,medicina prepaga;Servicio;Si pensaba tener hijos en los próximos meses;Voy rotando entre la oficina y el trabajo;Computadora / Laptop;3;0;Entre 11 y 20
Masculino;Si;33;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Pública;Chaco;NEA;3;Otros;6000;Multinacional;55;HRBP;Full time;Relaciones laborales;8;9;3;8;55000;Medicina prepaga / Plan de salud, Horarios flexibles, Abono de celular, Seguro de vida (adicionales a los de ley), Préstamos, Reintegros en capacitación, Home office, Tarjeta recargable de beneficios;No recibo bono;2 ajustes;50;Septiembre;No;SAP / SuccessFactors;Recursos Humanos;Si, está permitido;No;0;100;5;No,  pero escucho ofertas;Bono semestral;Indispensable;No recuerdo ninguna;Si;Computadora / Laptop, Silla ergonómica, Abono de celular, Abono de internet;5;0;Más de 30
Femenino;No;24;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Privada;Buenos Aires;Centro;4;IT;270;Nacional;7;Analista;Full time;Reclutamiento y selección;0;1;1;2;47000;Medicina prepaga / Plan de salud, Seguro de vida (adicionales a los de ley), Idiomas;No recibo bono;1 solo;25;Septiembre;No;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;0.2;3000;3;No,  pero escucho ofertas;mas home, bonificaciones, comedor;Empatia;cual es tu signo?;Voy rotando entre la oficina y el trabajo;Computadora / Laptop;3;0;Entre 21 y 30
Femenino;Si;32;No tengo ninguna discapacidad;Secundario completo;Contador Público/Lic. En Letras;Universidad Pública;Buenos Aires;Centro;5;Hotelería, restauración, turismo;700;Nacional;4;Gerente;Full time;Generalista;3;10;3;10;86747;Horarios flexibles, Frutas y snacks, Abono de celular, Reintegros en capacitación, Home office, Comedor / Almuerzos, Estadías en hoteles de la Cadena para vacacionar;No recibo bono;1 solo;50;Enero;Si, en emprendimiento relacionado con RRHH;Tango;Recursos Humanos;Si, está permitido;No;0;1474;5;No estoy buscando cambiar;Idiomas;Valor;NA;Voy rotando entre la oficina y el trabajo;Computadora / Laptop;3;1;Más de 30
Masculino;No;32;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Buenos Aires;Centro;6;"Alimentación; bebidas; tabaco";7500;Multinacional;25;HRBP;Full time;Generalista;0;2;2;14;85500;Medicina prepaga / Plan de salud, Tarjeta de descuento, Horarios flexibles, Gimnasio, Home office;Un sueldo;1 solo;10;Septiembre;No;Oracle HCM;Recursos Humanos;Si, está permitido;No;0.2;9240;2;Sí, activamente;Comedor, descuento en gimnasios, abono celular, home office;Equipo;Yo soy bombero voluntario y, suele ser un tema de curiosidad por parte de entrevistadores pero me preguntaron que se siente ver morir a alguien. Un toque fuerte.;Si;Computadora / Laptop;2;0;Entre 1 y 10
Femenino;No;26;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Ciudad Autónoma de Buenos Aires;Centro;7;IT;100;Nacional;3;Analista;Full time;Generalista;0;3;3;5;73600;Medicina prepaga / Plan de salud, Licencias extendidas, Home office;No recibo bono;2 ajustes;15;Octubre;No;No tenemos sistema de gestión;Gestion del Talento;Si, está permitido;No;0;1000;3;Sí, activamente;Bonos, gimnasio, desayunos, días libres;Empatía;Si pudieses ser un animal, cual sería?;Si;Computadora / Laptop, Silla ergonómica;4;0;Entre 11 y 20
Masculino;No;29;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Ciudad Autónoma de Buenos Aires;Centro;8;"Medios de comunicación; cultura; gráficos";700;Multinacional;9;HRBP;Full time;Payroll / Liquidación de sueldos;2;5;3;5;80000;Horarios flexibles, Licencias extendidas, Préstamos, Reintegros en capacitación, Idiomas, Home office, Comedor / Almuerzos, Charter / Servicio de transporte;No recibo bono;2 ajustes;17;Agosto;Si, en emprendimiento no relacionado con RRHH;RH Pro;Recursos Humanos;Si, está permitido;No;0.1;9800;4;No,  pero escucho ofertas;Licencia sin goce;Indispensable;¿Qué día se comen pastas?;Si;Computadora / Laptop, Silla ergonómica;4;0;Entre 11 y 20
Femenino;No;30;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Pública;Ciudad Autónoma de Buenos Aires;Centro;9;IT;92;Nacional;2;Responsable;Full time;Generalista;1;7;4;4;98948;Medicina prepaga / Plan de salud, Horarios flexibles, Abono de celular, Seguro de vida (adicionales a los de ley), Reintegros en capacitación, Home office;Menos de un sueldo;1 solo;25;Agosto;No;No tenemos sistema de gestión;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;Entre 21 y 30
Femenino;No;34;No tengo ninguna discapacidad;Maestría completa;RRHH / RRLL / RRTT;Universidad Privada;Jujuy;NOA;10;Minería (carbón, otra minería);500;Multinacional;10;HRBP;Full time;Capacitación y desarrollo;0;2;2;12;85000;Medicina prepaga / Plan de salud, Gimnasio, Reintegros en capacitación, Comedor / Almuerzos;Un sueldo;1 solo;30;Mayo;No;Nucleus;Desarrollo de Personas;Si, está permitido;No;0;120;2;Sí, activamente;"Horario flexible; prepara; bono; gimnasio y medicamentos;";Valores;No tengo una;NA;NA;NA;0;Entre 21 y 30
